sqft,bedrooms,bathrooms,age_years,distance_to_city_km,price
1998,3,3,7,2.3,321352
1124,1,3,70,18.3,129698
2288,5,2,33,0.6,310941
2411,4,2,42,5.8,422016
532,5,1,13,24.4,143480
954,1,1,49,3.1,121224
1883,1,1,14,13.5,267919
1594,5,1,21,3.0,240548
1789,2,2,57,25.0,237774
1246,4,3,4,1.2,258881
2372,5,3,35,4.2,378627
2306,1,2,47,5.8,277499
1843,1,3,10,10.9,249750
2533,1,3,23,6.9,374445
2104,1,3,27,12.3,292102
1241,1,2,53,1.2,194392
2040,5,1,78,12.8,270174
1177,4,3,66,19.7,183495
2371,5,1,15,11.5,355115
1768,5,2,1,3.1,415467
1680,5,1,4,1.8,263094
1357,2,3,47,2.5,256137
2595,2,2,12,1.0,434185
1700,5,1,18,8.8,262664
1522,2,1,67,6.4,265275
1571,1,2,69,6.4,220216
2146,4,2,67,7.7,332167
2038,5,3,20,18.3,329160
2068,5,1,49,0.5,319288
2080,5,3,48,4.1,332109
3192,1,2,14,2.0,452760
1536,4,3,44,9.9,298879
1467,5,1,42,17.0,231209
1271,4,1,31,2.7,195760
2200,5,1,60,5.0,351862
2534,5,2,54,0.4,419854
1726,3,3,42,5.1,293056
1254,1,1,58,3.0,181851
1264,3,2,61,7.8,173239
2223,2,1,45,5.4,260944
2283,1,3,21,12.9,278286
2153,1,3,60,4.4,219385
1367,4,3,57,5.1,236872
1951,3,3,78,15.0,240058
1876,3,2,11,4.6,292619
1942,4,3,33,7.9,209509
2366,3,1,73,2.0,264158
1945,4,3,41,11.4,337753
2241,1,3,75,8.3,242007
1844,5,3,0,8.6,357001
1988,3,2,2,9.0,271214
2210,1,3,63,7.5,324321
853,5,2,28,0.6,203673
1592,4,1,41,2.9,266855
1494,1,3,34,16.8,275237
1385,1,1,32,14.0,223604
1621,1,1,75,13.8,150045
2772,2,2,7,23.5,341902
1237,1,1,61,6.7,131412
2429,4,3,71,6.2,358791
706,3,2,52,5.5,125049
1582,5,1,31,0.5,270962
1906,4,3,12,5.9,383292
2181,4,2,54,10.6,303756
2262,3,1,37,2.6,406853
2316,1,3,11,17.9,313816
1573,1,2,28,8.0,281380
1499,4,1,76,9.6,211974
2358,1,3,21,7.5,363188
1676,1,2,14,13.6,206098
971,2,3,54,5.0,124114
1063,5,3,15,6.3,258440
1202,3,2,73,2.2,211350
2123,4,3,68,5.8,309261
1893,3,1,78,2.2,201100
2249,1,1,73,14.4,188767
1522,2,2,19,6.8,188625
1903,1,3,16,6.7,219330
2207,4,2,27,12.8,334147
1599,1,2,37,2.0,266566
2097,2,3,70,2.1,280591
1370,5,3,58,24.7,120775
1564,3,3,51,7.3,230937
1552,3,1,70,6.8,196609
1023,3,3,51,0.2,261744
2117,4,2,30,4.0,285245
1495,2,2,33,18.5,183368
1808,4,2,41,13.4,328353
2112,5,1,7,4.1,377961
2090,3,1,59,8.4,292875
2233,3,2,52,3.7,319907
1736,1,3,58,4.8,239038
1525,2,3,42,3.5,261747
1748,5,1,62,2.0,245309
703,3,3,75,6.3,145732
859,2,1,45,5.4,81719
940,3,3,35,24.6,150706
1152,3,2,8,0.9,238223
2060,3,2,62,4.8,262285
1211,4,3,72,11.5,181373
1554,2,2,55,5.8,190407
2644,4,3,69,21.2,298051
1568,3,2,68,3.9,209076
2279,5,3,63,1.3,317279
1193,1,2,40,17.2,153602
1666,1,1,7,0.6,216178
1182,3,3,0,4.5,268995
1580,3,2,16,3.3,229465
2346,4,2,34,7.4,332916
677,3,1,59,10.4,77442
2082,5,1,36,5.1,376585
1955,3,2,1,15.1,315033
1414,1,1,16,0.4,211014
860,1,3,78,3.1,125574
1847,5,3,79,7.0,203405
1456,1,3,30,3.8,219808
1951,5,3,64,1.2,385725
1814,2,2,57,1.8,255006
2841,1,1,74,4.0,331817
1644,2,2,71,3.4,233208
1135,4,2,50,10.5,217489
1917,3,3,31,9.5,223323
1943,4,1,50,9.0,218559
2683,4,2,25,7.8,407764
2343,3,2,27,11.2,310225
2032,4,1,48,23.7,303494
2751,5,1,45,2.8,396462
1027,3,2,46,17.2,79251
1384,1,1,30,0.2,158279
1198,3,1,32,24.3,59213
1547,5,2,0,0.8,308541
905,2,1,48,1.0,135725
2213,5,2,46,4.6,332256
1656,3,1,74,1.3,260895
844,4,1,40,0.2,215785
1140,2,2,37,0.2,185081
2004,5,3,5,2.7,297356
2345,1,2,15,14.0,331724
3098,2,3,27,1.0,461619
3694,3,2,30,7.3,513946
2069,3,2,29,13.8,329204
