ad_spend,foot_traffic,discount_pct,day_of_week,daily_sales
127,333,0,0,5701
219,241,0,1,3347
310,422,0,3,5291
74,455,10,0,6707
212,452,5,1,5190
159,402,10,6,6591
203,200,0,4,2570
89,319,5,6,6642
310,347,5,2,5660
348,348,0,4,4479
252,410,5,1,7203
380,585,10,2,10472
155,506,5,1,7830
210,272,0,5,3884
254,488,10,1,7305
221,483,0,1,7429
165,295,0,3,4049
173,510,0,3,5661
334,379,5,2,6716
184,217,0,2,4056
302,459,10,2,7115
180,428,0,6,6242
302,370,15,4,8518
194,395,0,6,4729
244,307,10,6,6905
135,479,15,4,7183
210,394,5,5,5832
136,422,0,0,4434
153,446,5,6,7462
159,250,25,3,7594
172,284,25,4,7661
286,113,0,1,2532
151,473,15,0,7147
200,242,0,6,4728
302,417,0,3,6448
242,448,10,0,7262
74,478,5,4,6000
88,243,5,0,4330
222,392,15,3,5806
147,617,0,4,7317
82,623,10,5,12170
142,528,5,3,6764
226,444,0,2,5333
159,269,5,5,6035
191,493,25,1,11779
165,379,5,0,6411
133,473,0,1,3477
208,318,10,5,7390
77,378,25,3,11148
125,421,20,0,9062
263,432,10,1,6205
89,464,5,0,6349
187,325,10,5,5729
153,225,15,3,6939
146,611,15,0,8613
274,724,15,1,11017
298,458,5,4,5934
110,228,0,4,2526
172,299,10,5,7934
67,466,0,0,5235
267,574,0,0,6307
182,242,5,0,3254
86,384,10,2,4538
128,425,15,5,7424
105,512,15,4,8506
124,355,15,1,7855
70,197,15,4,4788
332,481,10,4,9344
112,546,0,1,5403
186,389,10,5,7280
225,453,0,2,4550
298,338,0,0,5560
189,290,0,2,5749
164,533,15,5,8107
193,450,10,4,6885
110,464,20,1,9996
114,595,25,5,10619
162,263,20,2,7627
57,328,0,3,4900
134,421,20,0,8594
148,327,15,6,8173
406,502,20,5,12650
315,376,0,1,6832
225,271,0,3,3738
270,409,20,5,9266
114,422,0,3,4047
195,522,5,1,7859
255,451,5,6,6167
114,460,0,1,5008
88,442,0,2,5070
214,376,25,2,8800
93,307,20,6,8465
234,438,20,3,11314
296,357,0,5,5626
116,620,0,6,7267
121,574,5,6,9057
292,482,5,5,8032
190,449,0,6,7570
275,389,15,6,8818
165,236,25,6,8447
171,372,5,4,3875
188,413,5,0,4468
368,430,5,0,5009
265,461,0,5,6969
132,520,0,2,4634
202,310,5,5,7021
160,311,5,6,5795
146,589,5,4,7239
231,500,15,5,8833
210,349,0,1,5051
117,386,0,3,3818
188,387,0,6,4787
144,404,0,5,6769
225,461,10,1,7722
141,730,15,6,11270
171,425,20,3,9260
148,486,10,5,8299
76,181,5,3,3704
360,337,0,4,4118
187,560,5,1,9179
366,452,0,2,5445
191,20,20,5,7201
250,488,5,5,7562
136,649,0,0,7831
138,141,0,0,2937
182,598,0,4,7791
364,40,20,3,4885
119,522,0,5,7707
66,399,0,0,6164
289,95,0,2,2090
257,458,15,0,8404
152,550,5,4,6636
427,447,10,6,8505
436,476,5,1,8857
73,346,0,2,3121
135,158,15,5,5184
182,490,0,0,7185
222,627,0,6,8633
207,547,10,6,10966
187,142,0,1,2036
110,203,0,0,2895
234,290,15,4,6111
240,193,5,0,4131
280,406,0,3,3654
103,451,0,0,5731
168,214,10,3,5163
148,501,0,2,5683
102,478,0,4,5016
167,329,10,6,6052
113,378,10,3,6903
93,147,25,4,5637
258,357,5,4,6077
151,401,0,6,7561
132,422,5,1,7166
310,449,10,1,6206
244,432,0,2,4898
63,366,10,5,7253
223,437,0,6,6203
222,530,15,1,7689
164,388,15,0,7753
161,441,5,4,6098
80,376,25,4,10550
425,316,25,2,9133
167,468,0,1,6531
217,328,5,5,4969
171,450,10,5,7099
133,404,0,5,6309
267,360,5,4,6655
199,357,0,1,3670
167,334,25,2,8730
216,186,5,0,2616
178,450,15,1,7881
377,430,5,3,7445
263,510,0,3,5800
232,331,15,0,6862
85,646,0,6,6797
236,351,0,1,4002
233,286,5,3,6447
114,271,10,3,5303
84,175,0,3,1527
258,599,0,5,7636
273,578,0,5,6328
138,478,0,6,5471
135,284,0,2,4850
198,635,5,1,7941
151,354,0,2,6051
