study_hours_per_week,attendance_pct,sleep_hours,practice_tests_taken,exam_score
8.4,83.5,6.3,6,78.5
2.3,58.7,6.2,1,41.5
6.1,78.4,8.0,1,66.1
5.4,99.8,8.3,1,69.1
7.2,91.6,6.8,3,74.6
6.2,88.0,8.9,1,69.9
7.7,97.1,8.8,4,61.1
9.3,90.8,7.3,4,79.2
7.5,99.6,5.9,5,80.1
2.1,96.0,9.0,1,66.4
8.4,100.0,6.9,1,74.0
8.0,89.3,7.2,5,85.8
10.2,95.9,6.6,2,79.4
9.3,81.3,5.8,1,70.6
13.1,77.8,5.1,6,86.5
4.5,100.0,7.8,3,72.8
11.1,87.6,6.0,0,67.4
4.5,94.7,10.0,2,56.7
10.6,86.5,5.6,4,73.3
3.8,78.0,5.4,2,60.4
9.8,85.1,7.7,5,77.0
8.2,100.0,9.0,0,81.2
14.6,91.7,7.1,1,85.7
5.3,64.5,7.7,3,67.6
11.2,82.4,4.6,4,72.6
3.4,100.0,6.1,3,68.1
7.5,82.4,5.6,3,69.8
6.0,63.4,4.5,1,61.3
5.1,100.0,7.2,3,60.6
6.2,93.2,4.1,0,58.3
9.3,84.2,5.3,7,81.4
6.7,80.5,6.3,4,76.5
8.9,98.0,5.9,3,77.4
10.1,78.5,7.5,3,72.7
14.2,98.8,7.4,2,93.0
8.5,91.5,8.2,6,86.2
6.6,87.9,8.0,2,67.6
6.0,86.7,8.5,2,71.0
11.2,82.9,7.0,2,83.0
5.2,97.5,7.4,1,79.2
4.0,74.6,7.7,5,67.7
10.5,65.5,7.2,1,67.6
14.3,92.4,6.5,7,91.4
10.5,92.6,6.6,3,81.8
5.7,90.8,5.9,2,64.6
2.0,89.9,7.5,0,58.4
4.0,81.2,6.9,5,57.8
2.8,94.4,6.1,3,70.0
12.0,84.5,6.1,0,67.0
3.8,79.2,5.4,4,56.4
6.4,81.3,8.3,3,69.5
2.9,100.0,7.1,4,79.3
5.7,64.2,5.9,4,56.2
5.4,91.0,8.1,6,70.1
9.9,64.9,6.3,7,69.3
10.0,83.7,5.2,3,81.7
7.5,79.8,8.3,4,55.3
5.7,60.0,6.3,5,53.2
4.7,89.7,6.5,6,85.8
9.7,80.4,7.1,7,82.5
12.9,59.8,8.5,4,70.3
5.2,95.1,7.0,3,68.8
6.2,100.0,5.4,3,70.4
3.9,100.0,7.7,0,70.1
2.2,89.3,6.4,3,70.5
7.1,85.6,9.5,2,75.1
5.3,100.0,7.0,4,69.1
11.2,100.0,4.1,4,84.2
2.5,98.6,7.5,5,64.1
4.5,73.7,9.5,6,62.6
3.3,87.4,9.0,6,59.6
7.2,90.3,9.4,2,65.0
5.0,63.3,5.7,2,48.4
3.5,90.6,8.2,4,60.2
3.6,100.0,6.1,7,73.1
6.0,92.7,7.3,4,64.5
4.8,100.0,5.3,1,45.3
4.5,87.2,6.2,6,61.1
7.6,84.1,6.1,3,65.7
2.4,89.6,8.2,1,56.9
8.2,75.2,8.0,1,76.5
11.4,73.4,7.4,5,74.2
6.3,100.0,5.2,2,73.7
8.0,100.0,6.6,5,78.5
6.3,73.1,6.0,4,63.1
4.9,96.6,8.1,3,65.9
8.3,84.0,8.5,1,71.2
5.8,89.1,8.4,4,67.4
6.5,90.5,6.0,0,65.1
7.7,96.9,3.4,2,65.8
3.3,86.0,4.7,3,52.0
2.2,100.0,8.8,3,73.7
15.2,88.7,6.5,2,87.9
8.0,92.5,6.0,3,69.5
7.5,75.0,9.1,4,72.8
4.7,100.0,8.6,2,70.8
8.1,90.6,7.0,3,68.4
4.7,93.6,6.6,4,68.5
8.9,65.7,6.8,2,61.1
8.3,75.1,7.3,3,63.3
7.7,99.9,9.1,1,67.1
8.6,88.4,7.5,4,74.0
5.5,62.0,7.9,2,61.7
5.7,97.5,8.5,3,69.5
9.1,78.5,5.5,0,79.6
